========== RELATÓRIO DE AUDITORIA ==========

Transação : ME31K
Operador  : ronaldo.gontijo (Máquina: NTINM019)
Início    : 29/07/2026 16:04:22
Fim       : 29/07/2026 16:06:06
============================================

[SUCESSO] Contrato: 1 | Material: 60000165 | SAP: 4600000353 | Detalhes: Contrato criado com sucesso | Avisos SAP: Preencher campo obrigatório "Fim da validade" | Condições de pagamento com pagamento a prestações não são possíveis aqui | Contrato por qtd. criado sob o nº 4600000353
[SUCESSO] Contrato: 1 | Material: 60000166 | SAP: 4600000353 | Detalhes: Contrato criado com sucesso | Avisos SAP: Preencher campo obrigatório "Fim da validade" | Condições de pagamento com pagamento a prestações não são possíveis aqui | Contrato por qtd. criado sob o nº 4600000353
[SUCESSO] Contrato: 1 | Material: 60000167 | SAP: 4600000353 | Detalhes: Contrato criado com sucesso | Avisos SAP: Preencher campo obrigatório "Fim da validade" | Condições de pagamento com pagamento a prestações não são possíveis aqui | Contrato por qtd. criado sob o nº 4600000353
[SUCESSO] Contrato: 1 | Material: 60000170 | SAP: 4600000353 | Detalhes: Contrato criado com sucesso | Avisos SAP: Preencher campo obrigatório "Fim da validade" | Condições de pagamento com pagamento a prestações não são possíveis aqui | Contrato por qtd. criado sob o nº 4600000353
[SUCESSO] Contrato: 1 | Material: 60000171 | SAP: 4600000353 | Detalhes: Contrato criado com sucesso | Avisos SAP: Preencher campo obrigatório "Fim da validade" | Condições de pagamento com pagamento a prestações não são possíveis aqui | Contrato por qtd. criado sob o nº 4600000353
[SUCESSO] Contrato: 1 | Material: 60000172 | SAP: 4600000353 | Detalhes: Contrato criado com sucesso | Avisos SAP: Preencher campo obrigatório "Fim da validade" | Condições de pagamento com pagamento a prestações não são possíveis aqui | Contrato por qtd. criado sob o nº 4600000353
[SUCESSO] Contrato: 1 | Material: 60000173 | SAP: 4600000353 | Detalhes: Contrato criado com sucesso | Avisos SAP: Preencher campo obrigatório "Fim da validade" | Condições de pagamento com pagamento a prestações não são possíveis aqui | Contrato por qtd. criado sob o nº 4600000353
[SUCESSO] Contrato: 1 | Material: 60000174 | SAP: 4600000353 | Detalhes: Contrato criado com sucesso | Avisos SAP: Preencher campo obrigatório "Fim da validade" | Condições de pagamento com pagamento a prestações não são possíveis aqui | Contrato por qtd. criado sob o nº 4600000353
[SUCESSO] Contrato: 1 | Material: 60000175 | SAP: 4600000353 | Detalhes: Contrato criado com sucesso | Avisos SAP: Preencher campo obrigatório "Fim da validade" | Condições de pagamento com pagamento a prestações não são possíveis aqui | Contrato por qtd. criado sob o nº 4600000353
[SUCESSO] Contrato: 1 | Material: 60000176 | SAP: 4600000353 | Detalhes: Contrato criado com sucesso | Avisos SAP: Preencher campo obrigatório "Fim da validade" | Condições de pagamento com pagamento a prestações não são possíveis aqui | Contrato por qtd. criado sob o nº 4600000353
[SUCESSO] Contrato: 1 | Material: 60000177 | SAP: 4600000353 | Detalhes: Contrato criado com sucesso | Avisos SAP: Preencher campo obrigatório "Fim da validade" | Condições de pagamento com pagamento a prestações não são possíveis aqui | Contrato por qtd. criado sob o nº 4600000353
[SUCESSO] Contrato: 1 | Material: 60000178 | SAP: 4600000353 | Detalhes: Contrato criado com sucesso | Avisos SAP: Preencher campo obrigatório "Fim da validade" | Condições de pagamento com pagamento a prestações não são possíveis aqui | Contrato por qtd. criado sob o nº 4600000353
[SUCESSO] Contrato: 1 | Material: 60000179 | SAP: 4600000353 | Detalhes: Contrato criado com sucesso | Avisos SAP: Preencher campo obrigatório "Fim da validade" | Condições de pagamento com pagamento a prestações não são possíveis aqui | Contrato por qtd. criado sob o nº 4600000353
[SUCESSO] Contrato: 1 | Material: 60000180 | SAP: 4600000353 | Detalhes: Contrato criado com sucesso | Avisos SAP: Preencher campo obrigatório "Fim da validade" | Condições de pagamento com pagamento a prestações não são possíveis aqui | Contrato por qtd. criado sob o nº 4600000353
[SUCESSO] Contrato: 1 | Material: 60000181 | SAP: 4600000353 | Detalhes: Contrato criado com sucesso | Avisos SAP: Preencher campo obrigatório "Fim da validade" | Condições de pagamento com pagamento a prestações não são possíveis aqui | Contrato por qtd. criado sob o nº 4600000353
[SUCESSO] Contrato: 1 | Material: 60000182 | SAP: 4600000353 | Detalhes: Contrato criado com sucesso | Avisos SAP: Preencher campo obrigatório "Fim da validade" | Condições de pagamento com pagamento a prestações não são possíveis aqui | Contrato por qtd. criado sob o nº 4600000353
[SUCESSO] Contrato: 1 | Material: 60000183 | SAP: 4600000353 | Detalhes: Contrato criado com sucesso | Avisos SAP: Preencher campo obrigatório "Fim da validade" | Condições de pagamento com pagamento a prestações não são possíveis aqui | Contrato por qtd. criado sob o nº 4600000353
[SUCESSO] Contrato: 1 | Material: 60000184 | SAP: 4600000353 | Detalhes: Contrato criado com sucesso | Avisos SAP: Preencher campo obrigatório "Fim da validade" | Condições de pagamento com pagamento a prestações não são possíveis aqui | Contrato por qtd. criado sob o nº 4600000353
[SUCESSO] Contrato: 1 | Material: 60000185 | SAP: 4600000353 | Detalhes: Contrato criado com sucesso | Avisos SAP: Preencher campo obrigatório "Fim da validade" | Condições de pagamento com pagamento a prestações não são possíveis aqui | Contrato por qtd. criado sob o nº 4600000353
[SUCESSO] Contrato: 1 | Material: 60000186 | SAP: 4600000353 | Detalhes: Contrato criado com sucesso | Avisos SAP: Preencher campo obrigatório "Fim da validade" | Condições de pagamento com pagamento a prestações não são possíveis aqui | Contrato por qtd. criado sob o nº 4600000353
[SUCESSO] Contrato: 1 | Material: 60000550 | SAP: 4600000353 | Detalhes: Contrato criado com sucesso | Avisos SAP: Preencher campo obrigatório "Fim da validade" | Condições de pagamento com pagamento a prestações não são possíveis aqui | Contrato por qtd. criado sob o nº 4600000353
[SUCESSO] Contrato: 1 | Material: 60000551 | SAP: 4600000353 | Detalhes: Contrato criado com sucesso | Avisos SAP: Preencher campo obrigatório "Fim da validade" | Condições de pagamento com pagamento a prestações não são possíveis aqui | Contrato por qtd. criado sob o nº 4600000353
[SUCESSO] Contrato: 1 | Material: 60000552 | SAP: 4600000353 | Detalhes: Contrato criado com sucesso | Avisos SAP: Preencher campo obrigatório "Fim da validade" | Condições de pagamento com pagamento a prestações não são possíveis aqui | Contrato por qtd. criado sob o nº 4600000353
[SUCESSO] Contrato: 1 | Material: 60000561 | SAP: 4600000353 | Detalhes: Contrato criado com sucesso | Avisos SAP: Preencher campo obrigatório "Fim da validade" | Condições de pagamento com pagamento a prestações não são possíveis aqui | Contrato por qtd. criado sob o nº 4600000353
[SUCESSO] Contrato: 1 | Material: 60000562 | SAP: 4600000353 | Detalhes: Contrato criado com sucesso | Avisos SAP: Preencher campo obrigatório "Fim da validade" | Condições de pagamento com pagamento a prestações não são possíveis aqui | Contrato por qtd. criado sob o nº 4600000353
[SUCESSO] Contrato: 1 | Material: 60000563 | SAP: 4600000353 | Detalhes: Contrato criado com sucesso | Avisos SAP: Preencher campo obrigatório "Fim da validade" | Condições de pagamento com pagamento a prestações não são possíveis aqui | Contrato por qtd. criado sob o nº 4600000353
[SUCESSO] Contrato: 1 | Material: 60000565 | SAP: 4600000353 | Detalhes: Contrato criado com sucesso | Avisos SAP: Preencher campo obrigatório "Fim da validade" | Condições de pagamento com pagamento a prestações não são possíveis aqui | Contrato por qtd. criado sob o nº 4600000353
[SUCESSO] Contrato: 1 | Material: 60000566 | SAP: 4600000353 | Detalhes: Contrato criado com sucesso | Avisos SAP: Preencher campo obrigatório "Fim da validade" | Condições de pagamento com pagamento a prestações não são possíveis aqui | Contrato por qtd. criado sob o nº 4600000353
[SUCESSO] Contrato: 1 | Material: 60000568 | SAP: 4600000353 | Detalhes: Contrato criado com sucesso | Avisos SAP: Preencher campo obrigatório "Fim da validade" | Condições de pagamento com pagamento a prestações não são possíveis aqui | Contrato por qtd. criado sob o nº 4600000353
[SUCESSO] Contrato: 1 | Material: 60000595 | SAP: 4600000353 | Detalhes: Contrato criado com sucesso | Avisos SAP: Preencher campo obrigatório "Fim da validade" | Condições de pagamento com pagamento a prestações não são possíveis aqui | Contrato por qtd. criado sob o nº 4600000353
[SUCESSO] Contrato: 1 | Material: 60000596 | SAP: 4600000353 | Detalhes: Contrato criado com sucesso | Avisos SAP: Preencher campo obrigatório "Fim da validade" | Condições de pagamento com pagamento a prestações não são possíveis aqui | Contrato por qtd. criado sob o nº 4600000353
[SUCESSO] Contrato: 1 | Material: 60000597 | SAP: 4600000353 | Detalhes: Contrato criado com sucesso | Avisos SAP: Preencher campo obrigatório "Fim da validade" | Condições de pagamento com pagamento a prestações não são possíveis aqui | Contrato por qtd. criado sob o nº 4600000353
[SUCESSO] Contrato: 1 | Material: 60000599 | SAP: 4600000353 | Detalhes: Contrato criado com sucesso | Avisos SAP: Preencher campo obrigatório "Fim da validade" | Condições de pagamento com pagamento a prestações não são possíveis aqui | Contrato por qtd. criado sob o nº 4600000353
[SUCESSO] Contrato: 1 | Material: 60000600 | SAP: 4600000353 | Detalhes: Contrato criado com sucesso | Avisos SAP: Preencher campo obrigatório "Fim da validade" | Condições de pagamento com pagamento a prestações não são possíveis aqui | Contrato por qtd. criado sob o nº 4600000353
[SUCESSO] Contrato: 1 | Material: 60000601 | SAP: 4600000353 | Detalhes: Contrato criado com sucesso | Avisos SAP: Preencher campo obrigatório "Fim da validade" | Condições de pagamento com pagamento a prestações não são possíveis aqui | Contrato por qtd. criado sob o nº 4600000353
[SUCESSO] Contrato: 1 | Material: 60000602 | SAP: 4600000353 | Detalhes: Contrato criado com sucesso | Avisos SAP: Preencher campo obrigatório "Fim da validade" | Condições de pagamento com pagamento a prestações não são possíveis aqui | Contrato por qtd. criado sob o nº 4600000353
[SUCESSO] Contrato: 1 | Material: 60000603 | SAP: 4600000353 | Detalhes: Contrato criado com sucesso | Avisos SAP: Preencher campo obrigatório "Fim da validade" | Condições de pagamento com pagamento a prestações não são possíveis aqui | Contrato por qtd. criado sob o nº 4600000353
[SUCESSO] Contrato: 1 | Material: 60000604 | SAP: 4600000353 | Detalhes: Contrato criado com sucesso | Avisos SAP: Preencher campo obrigatório "Fim da validade" | Condições de pagamento com pagamento a prestações não são possíveis aqui | Contrato por qtd. criado sob o nº 4600000353
[SUCESSO] Contrato: 1 | Material: 60000605 | SAP: 4600000353 | Detalhes: Contrato criado com sucesso | Avisos SAP: Preencher campo obrigatório "Fim da validade" | Condições de pagamento com pagamento a prestações não são possíveis aqui | Contrato por qtd. criado sob o nº 4600000353
[SUCESSO] Contrato: 1 | Material: 60000606 | SAP: 4600000353 | Detalhes: Contrato criado com sucesso | Avisos SAP: Preencher campo obrigatório "Fim da validade" | Condições de pagamento com pagamento a prestações não são possíveis aqui | Contrato por qtd. criado sob o nº 4600000353
