Pedido;Item;Tax_Antes;Tax_Novo;Tax_Depois;Material_Antes;Material_Novo;Material_Depois;CC_Antes;CC_Novo;CC_Depois;Status;Mensagens
4500033711;10;P4;;P4;60000506;;60000506;;20151CD008;;OK;S - 06 023: Standard PO 4500033711 changed | I - KI 339: Profit center was set to L2015001 | W - ME 083: Enter Requester, customer
4500033707;10;P4;;P4;60000506;;60000506;;20151CD008;;OK;S - 06 023: Standard PO 4500033707 changed | I - KI 339: Profit center was set to L2015001 | W - ME 083: Enter Requester, customer
4500033704;10;P4;;P4;60000506;;60000506;;20151CD008;;OK;S - 06 023: Standard PO 4500033704 changed | I - KI 339: Profit center was set to L2015001 | W - ME 083: Enter Requester, customer
4500033698;10;P4;;P4;60000506;;60000506;;20151CD008;;OK;S - 06 023: Standard PO 4500033698 changed | I - KI 339: Profit center was set to L2015001 | W - ME 083: Enter Requester, customer
4500033695;10;C0;;C0;20006452;;20006452;;20011PI023;;OK;S - 06 023: Standard PO 4500033695 changed | W - ME 083: Enter Requester, customer
4500033599;10;F4;;F4;1000784;;1000784;;20111PD021;;OK;S - 06 023: Standard PO 4500033599 changed | I - KI 339: Profit center was set to L2011002 | W - 06 081: Conversion between PC and KG effected using factor 1 | W - ME 083: Enter Requester, customer
4500033596;10;F4;;F4;1000784;;1000784;;20111PD003;;OK;S - 06 023: Standard PO 4500033596 changed | I - KI 339: Profit center was set to L2011002 | W - 06 081: Conversion between PC and KG effected using factor 1 | W - ME 083: Enter Requester, customer
4500033592;10;F4;;F4;1000784;;1000784;;20111PD011;;OK;S - 06 023: Standard PO 4500033592 changed | I - KI 339: Profit center was set to L2011002 | W - 06 081: Conversion between PC and KG effected using factor 1 | W - ME 083: Enter Requester, customer
4500033580;10;C0;;C0;20006693;;20006693;;20011AD005;;OK;S - 06 023: Standard PO 4500033580 changed | W - ME 083: Enter Requester, customer
4500033554;10;P4;;P4;60000003;;60000003;;20012PD006;;OK;S - 06 023: Standard PO 4500033554 changed | W - ME 083: Enter Requester, customer | I - KI 339: Profit center was set to L2001002
4500033538;10;C0;;C0;30009438;;30009438;;20011AD015;;OK;S - 06 023: Standard PO 4500033538 changed | W - ME 083: Enter Requester, customer
4500033509;10;F4;;F4;1000472;;1000472;;20101CI001;;OK;S - 06 023: Standard PO 4500033509 changed | I - KI 339: Profit center was set to L2010002 | W - ME 083: Enter Requester, customer
4500033506;10;F4;;F4;1000605;;1000605;;20101PD015;;OK;S - 06 023: Standard PO 4500033506 changed | I - KI 339: Profit center was set to L2010002 | W - ME 083: Enter Requester, customer
4500033487;10;C0;;C0;20008437;;20008437;;20011AD005;;OK;S - 06 023: Standard PO 4500033487 changed | W - ME 678: Purchase order unit L allows fewer decimal places only | W - ME 083: Enter Requester, customer
4500033477;10;C0;;C0;20008437;;20008437;;20011PI009;;OK;S - 06 023: Standard PO 4500033477 changed | W - ME 678: Purchase order unit L allows fewer decimal places only | W - ME 083: Enter Requester, customer
4500033471;10;F4;;F4;1000471;;1000471;;20011PD028;;OK;S - 06 023: Standard PO 4500033471 changed | W - ME 083: Enter Requester, customer
4500033455;10;C0;;C0;20004519;;20004519;;20011AD022;;OK;S - 06 023: Standard PO 4500033455 changed | W - ME 083: Enter Requester, customer
4500033372;10;P4;;P4;1000601;;1000601;;20021PD002;;OK;S - 06 023: Standard PO 4500033372 changed | I - KI 339: Profit center was set to L2002001 | W - ME 083: Enter Requester, customer
4500033369;10;P4;;P4;60000506;;60000506;;20151CD008;;OK;S - 06 023: Standard PO 4500033369 changed | I - KI 339: Profit center was set to L2015001 | W - ME 083: Enter Requester, customer
4500033366;10;P4;;P4;60000506;;60000506;;20151CD008;;OK;S - 06 023: Standard PO 4500033366 changed | I - KI 339: Profit center was set to L2015001 | W - ME 083: Enter Requester, customer
4500033362;10;P4;;P4;60000506;;60000506;;20151CD008;;OK;S - 06 023: Standard PO 4500033362 changed | I - KI 339: Profit center was set to L2015001 | W - ME 083: Enter Requester, customer
4500033340;10;F0;;F0;1000471;;1000471;;20101PD030;;OK;S - 06 023: Standard PO 4500033340 changed | W - ME 083: Enter Requester, customer | I - KI 339: Profit center was set to L2010002
4500033334;10;CF;;CF;20009127;;20009127;;20011PI028;;OK;S - 06 023: Standard PO 4500033334 changed | W - ME 083: Enter Requester, customer
4500033267;10;P4;;P4;60000506;;60000506;;20151CD008;;OK;S - 06 023: Standard PO 4500033267 changed | I - KI 339: Profit center was set to L2015001 | W - ME 083: Enter Requester, customer
4500033257;10;P4;;P4;60000506;;60000506;;20151CD008;;OK;S - 06 023: Standard PO 4500033257 changed | I - KI 339: Profit center was set to L2015001 | W - ME 083: Enter Requester, customer
4500033254;10;P4;;P4;60000506;;60000506;;20151CD008;;OK;S - 06 023: Standard PO 4500033254 changed | I - KI 339: Profit center was set to L2015001 | W - FCO_AVC_CC 201: The budget tolerance limit of 100,00% for cost center 20151CD008, ORC_CC~ORC_STER_V has been reached. | W - ME 083: Enter Requester, customer
