Pedido,Item,Antes,Novo,Depois,Status,Mensagens
4500031424,00010,F4,F5,F5,OK,"S - 06 023: Pedido Frete 4500031424 modificado | W - 06 207: O preço efetivo é 0,00 BRL, o preço do material é 1,00 BRL | W - 06 081: Conversão entre UN e KG é efetuada com o fator 1 | W - ME 083: Inserir Requisitante - cliente"
4500031425,00010,F4,F5,F5,OK,"S - 06 023: Pedido Frete 4500031425 modificado | W - 06 207: O preço efetivo é 0,00 BRL, o preço do material é 1,00 BRL | W - 06 081: Conversão entre UN e KG é efetuada com o fator 1 | W - ME 083: Inserir Requisitante - cliente"
4500031426,00010,F4,F5,F5,OK,"S - 06 023: Pedido Frete 4500031426 modificado | W - 06 207: O preço efetivo é 0,00 BRL, o preço do material é 1,00 BRL | W - 06 081: Conversão entre UN e KG é efetuada com o fator 1 | W - ME 083: Inserir Requisitante - cliente"
4500031427,00010,F4,F5,F5,OK,"S - 06 023: Pedido Frete 4500031427 modificado | W - 06 207: O preço efetivo é 0,00 BRL, o preço do material é 1,00 BRL | W - 06 081: Conversão entre UN e KG é efetuada com o fator 1 | W - ME 083: Inserir Requisitante - cliente"
4500031428,00010,F4,F5,F5,OK,"S - 06 023: Pedido Frete 4500031428 modificado | W - 06 207: O preço efetivo é 0,00 BRL, o preço do material é 1,00 BRL | W - 06 081: Conversão entre UN e KG é efetuada com o fator 1 | W - ME 083: Inserir Requisitante - cliente"
4500031429,00010,F4,F5,F5,OK,"S - 06 023: Pedido Frete 4500031429 modificado | W - 06 207: O preço efetivo é 0,00 BRL, o preço do material é 1,00 BRL | W - 06 081: Conversão entre UN e KG é efetuada com o fator 1 | W - ME 083: Inserir Requisitante - cliente"
4500031430,00010,F4,F5,F5,OK,"S - 06 023: Pedido Frete 4500031430 modificado | W - 06 207: O preço efetivo é 0,00 BRL, o preço do material é 1,00 BRL | W - 06 081: Conversão entre UN e KG é efetuada com o fator 1 | W - ME 083: Inserir Requisitante - cliente"
4500031431,00010,F4,F5,F5,OK,"S - 06 023: Pedido Frete 4500031431 modificado | W - 06 207: O preço efetivo é 0,00 BRL, o preço do material é 1,00 BRL | W - 06 081: Conversão entre UN e KG é efetuada com o fator 1 | W - ME 083: Inserir Requisitante - cliente"
4500031432,00010,F4,F5,F5,OK,"S - 06 023: Pedido Frete 4500031432 modificado | W - 06 207: O preço efetivo é 0,00 BRL, o preço do material é 1,00 BRL | W - 06 081: Conversão entre UN e KG é efetuada com o fator 1 | W - ME 083: Inserir Requisitante - cliente"
4500031433,00010,F4,F5,F5,OK,"S - 06 023: Pedido Frete 4500031433 modificado | W - 06 207: O preço efetivo é 0,00 BRL, o preço do material é 1,00 BRL | W - 06 081: Conversão entre UN e KG é efetuada com o fator 1 | W - ME 083: Inserir Requisitante - cliente"
4500031434,00010,F4,F5,F5,OK,"S - 06 023: Pedido Frete 4500031434 modificado | W - 06 207: O preço efetivo é 0,00 BRL, o preço do material é 1,00 BRL | W - 06 081: Conversão entre UN e KG é efetuada com o fator 1 | W - ME 083: Inserir Requisitante - cliente"
4500031435,00010,F4,F5,F5,OK,"S - 06 023: Pedido Frete 4500031435 modificado | W - 06 207: O preço efetivo é 0,00 BRL, o preço do material é 1,00 BRL | W - 06 081: Conversão entre UN e KG é efetuada com o fator 1 | W - ME 083: Inserir Requisitante - cliente"
4500031436,00010,F4,F5,F5,OK,"S - 06 023: Pedido Frete 4500031436 modificado | W - 06 207: O preço efetivo é 0,00 BRL, o preço do material é 1,00 BRL | W - 06 081: Conversão entre UN e KG é efetuada com o fator 1 | W - ME 083: Inserir Requisitante - cliente"
4500031437,00010,F4,F5,F5,OK,"S - 06 023: Pedido Frete 4500031437 modificado | W - 06 207: O preço efetivo é 0,00 BRL, o preço do material é 1,00 BRL | W - 06 081: Conversão entre UN e KG é efetuada com o fator 1 | W - ME 083: Inserir Requisitante - cliente"
4500031438,00010,F4,F5,F5,OK,"S - 06 023: Pedido Frete 4500031438 modificado | W - 06 207: O preço efetivo é 0,00 BRL, o preço do material é 1,00 BRL | W - 06 081: Conversão entre UN e KG é efetuada com o fator 1 | W - ME 083: Inserir Requisitante - cliente"
4500031439,00010,F4,F5,F5,OK,"S - 06 023: Pedido Frete 4500031439 modificado | W - 06 207: O preço efetivo é 0,00 BRL, o preço do material é 1,00 BRL | W - 06 081: Conversão entre UN e KG é efetuada com o fator 1 | W - ME 083: Inserir Requisitante - cliente"
